date,daily_ret_mean,daily_ret_sum,trades,sentiment
2024-06-02,-0.00013064640288997778,-0.14214328634429582,1088,1717306200.0
2024-06-03,0.037987678068311076,3.114989601601508,82,1717392600.0
2024-06-04,0.0032468692553715675,0.05194990808594508,16,1717479000.0
2024-06-05,0.0032080130253111993,0.028872117227800795,9,1717565400.0
2024-06-06,0.0023120284772964977,0.5410146636873805,234,1717651800.0
2024-06-07,0.021289193575074875,0.510940645801797,24,1717738200.0
2024-06-08,0.0770653830530667,8.245995986678137,107,1717824600.0
2024-06-09,-0.24902518396012924,-10.459057726325428,42,1717911000.0
2024-06-10,0.0004957358047129574,0.010906187703685061,22,1717997400.0
2024-06-11,0.025696521202497158,0.38544781803745737,15,1718083800.0
2024-06-12,0.06087415240407354,24.532283418841637,403,1718170200.0
2024-07-01,-0.001465990099491163,-0.14220103965064282,97,1719811800.0
2024-07-02,0.01816107888064849,0.2724161832097273,15,1719898200.0
2024-07-04,0.0,0.0,23,1720071000.0
2024-07-05,0.010229865150382465,0.18413757270688436,18,1720157400.0
2024-07-06,0.0044393699840108184,1.95332279296476,440,1720243800.0
2024-07-07,0.12316580454607151,1.2316580454607151,10,1720330200.0
2024-07-08,0.07047880827415383,1.621012590305538,23,1720416600.0
2024-07-10,0.0,0.0,21,1720589400.0
2024-07-11,0.14606012535873444,16.504794165536993,113,1720675800.0
2024-07-12,0.08018563821536354,24.376434017470515,304,1720762200.0
2024-08-01,-0.0011168976466750333,-0.14296289877440427,128,1722490200.0
2024-08-02,0.021876787200337006,0.21876787200337006,10,1722576600.0
2024-08-03,0.04671013227675114,3.129578862542326,67,1722663000.0
2024-08-04,0.0017080645966229735,0.05124193789868921,30,1722749400.0
2024-08-05,0.003278252887906339,0.042617287542782406,13,1722835800.0
2024-08-06,0.0013990060887606875,0.04057117657405994,29,1722922200.0
2024-08-07,0.0,0.0,1,1723008600.0
2024-08-08,-0.02962831527109057,-0.2666548374398151,9,1723095000.0
2024-08-09,0.0,0.0,1,1723181400.0
2024-08-10,0.011969979695290749,0.43091926903046696,36,1723267800.0
2024-08-11,-0.012165987977800278,-0.4744735311342108,39,1723354200.0
2024-08-12,0.03563001146965433,14.96460481725482,420,1723440600.0
2024-09-01,-0.0017713843017607347,-0.12399690112325143,70,1725168600.0
2024-09-03,0.024770725021437116,2.8981748275081425,117,1725341400.0
2024-09-04,0.0,0.0,3,1725427800.0
2024-09-05,0.003315408917476402,0.09283144968933925,28,1725514200.0
2024-09-06,0.0,0.0,17,1725600600.0
2024-09-07,0.23227538475115375,3.4841307712673064,15,1725687000.0
2024-09-08,0.011954323068789723,1.7214225219057202,144,1725773400.0
2024-09-09,0.0,0.0,2,1725859800.0
2024-09-10,0.0014052198741358703,0.019673078237902184,14,1725946200.0
2024-09-11,0.0020061450954243303,0.1725284782064924,86,1726032600.0
2024-09-12,0.02554492484743728,13.768714492768694,539,1726119000.0
2024-10-01,0.0010943820455426747,0.21121573478973624,193,1727760600.0
2024-10-03,0.027981615753706078,1.1752278616556553,42,1727933400.0
2024-10-04,0.013949471915401872,0.5719283485314768,41,1728019800.0
2024-10-05,0.009406217526489341,0.20693678558276551,22,1728106200.0
2024-10-06,0.0006987675579340524,0.037034680570504776,53,1728192600.0
